,1,2,3,4,5,6,7,8,9,10
1,,,,,,,1.0,,,
2,,,,,,,,,,
3,,,,,,,1.0,,,
4,,,,,,,1.0,,,
5,,,,,,,1.0,,,
6,,,,,,,1.0,,,
7,,,,,,,,,,
8,,,,1.0,,,,,,
9,,,,1.0,,,,,,
10,,,,,,,,,,
11,,,,1.0,,,,,,
12,,,,1.0,,,,,,
13,1.0,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,1.0,,,,,,,,,
17,,,,,1.0,,,,,
18,,,,,1.0,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,1.0,,,,,
22,,,,,1.0,,,,,
23,,,,,,,,,,
24,,,,,,,,,1.0,
25,,,,,,,,,1.0,
26,,,,,,,,,1.0,
27,,,1.0,,,,,,,
28,,,1.0,,,,,,,
29,,,1.0,,,,,,,
30,,,1.0,,,,,,,
31,,,,,,,,1.0,,
32,,,,,,,,1.0,,
33,,,,,,,,1.0,,
34,,,,,,,,1.0,,
35,,,,,,1.0,,,,
36,,,,,,1.0,,,,
37,,,,,,1.0,,,,
38,,,,,,1.0,,,,
39,,,,,,,,,,1.0
40,,,,,,,,,,1.0
41,,,,,,,,,,1.0
