,dateDelta,balance
0,0,126707
1,60,125593
2,66,125256
3,71,125090
4,73,124913
5,74,124413
6,75,123913
7,80,123413
8,81,122381
9,82,122274
10,85,122063
11,86,120794
12,87,120734
13,89,120406
14,95,120346
15,99,120230
16,102,120012
17,103,119618
18,104,119450
19,106,118782
20,108,118490
21,110,118355
22,113,117903
23,114,117173
24,115,117110
25,116,116361
26,117,116222
27,120,115939
28,122,115920
29,124,115484
30,127,114413
31,128,114113
32,129,114099
33,130,113936
34,131,113526
35,134,112248
36,135,112132
37,136,111677
38,137,111654
39,141,111429
40,142,111286
41,143,110016
42,145,109900
43,148,109538
44,150,108278
45,151,107607
46,152,107560
47,156,106989
48,157,105894
49,159,105425
50,162,105107
51,163,104485
52,164,103446
53,165,103166
54,169,102485
55,171,101382
56,172,101004
57,173,100438
58,177,100112
59,178,99059
60,179,98072
61,185,97476
62,186,96560
63,187,95319
64,191,94906
65,192,93909
66,193,93448
67,194,93444
68,197,93213
69,198,92997
70,199,91299
71,200,91293
72,204,90789
73,205,90575
74,206,89359
75,207,89247
76,208,89218
77,211,89104
78,212,88420
79,213,88065
80,214,86478
81,218,84776
82,219,84514
83,220,84296
84,221,84111
85,222,84089
86,226,83333
87,227,81643
88,228,81584
89,232,80729
90,233,79499
91,234,79310
92,239,78651
93,240,78410
94,241,77126
95,242,76861
96,243,75106
97,246,74477
98,247,72772
99,249,72622
100,250,72527
101,253,71733
102,254,71640
103,256,69527
104,260,68685
105,261,66698
106,262,66630
107,263,66284
108,264,66284
109,269,63407
110,270,63273
111,271,63229
112,274,63117
113,278,62777
114,283,62683
115,288,59967
116,289,59898
117,290,59266
118,291,59202
119,292,58496
120,297,58221
121,298,57863
122,299,57737
